# name  MJD     g     gerr r     rerr u     uerr g-r  gre u-g    uge comment
  94511 55977.0 19.95 0.07 19.64 0.08 19.72 0.2  .31  .11 -.23   .21 LT     
  94511 55998.0 20.01 0.04 19.88 0.05 20.02 0.08 .13  .06 .01    .09 LT     
  94511 56004.0 20.06 0.05 19.94 0.07 20.12 0.07 .12  .09 .06    .09 LT     
  94511 56307.0 20.8  0.15 20.51 0.16 20.88 0.2  .29  .22 .08    .25 LT     
  94511 56325.0 20.68 0.06 20.47 0.07 20.82 0.11 .21  .09 .14    .13 LT     
  94511 56331.0 20.64 0.03 20.35 0.04 20.8  0.35 .29  .05 .16    .35 LT     
  94511 56343.0 20.69 0.07 20.45 0.07 20.64 0.12 .24  .10 -.05   .14 LT     
  94511 56363.0 20.57 0.02 20.41 0.03 20.7  0.05 .16  .04 .13    .05 LT     
  94511 56391.0 20.66 0.02 20.47 0.03 20.92 0.06 .19  .04 .26    .06 LT     
  94511 56650.0 21.03 0.05 20.93 0.06 21.33 0.18 .10  .08 .30    .19 LT     
  94511 56684.0 21.08 0.03 20.84 0.04 21.38 0.07 .24  .05 .30    .08 LT     
  94511 56697.0 21.08 0.06 20.88 0.06 21.35 0.13 .20  .08 .27    .14 LT     
  94511 56975.0 21.61 0.11 21.39 0.14 0.0   0.0  .22  .18 -21.61 .11 LT     
  94511 57017.0 21.47 0.05 21.47 0.07 22.32 0.24 .00  .09 .85    .25 LT     
  94511 57018.0 21.47 0.04 21.54 0.09 0.0   0.0  -.07 .10 -21.47 .04 LT     
  94511 57337.0 21.22 0.03 20.98 0.05 0.0   0.0  .24  .06 -21.22 .03 LT     
  94511 57358.0 21.29 0.04 20.96 0.04 21.48 0.07 .33  .06 .19    .08 LT     
  94511 57367.0 21.42 0.04 21.03 0.04 0.0   0.0  .39  .06 -21.42 .04 LT     
  94511 57370.0 21.32 0.02 21.0  0.02 0.0   0.0  .32  .03 -21.32 .02 LT     
  94511 57415.0 21.5  0.08 21.11 0.08 0.0   0.0  .39  .11 -21.50 .08 LT     
  94511 57421.0 21.48 0.03 21.18 0.03 0.0   0.0  .30  .04 -21.48 .03 LT     
  94511 57451.0 21.43 0.03 21.2  0.04 0.0   0.0  .23  .05 -21.43 .03 LT     
  94511 57474.0 21.37 0.02 21.15 0.03 0.0   0.0  .22  .04 -21.37 .02 LT     
  94511 57504.0 21.2  0.02 20.95 0.02 21.38 0.03 .25  .03 .18    .04 LT     
  94511 57667.0 21.51 0.06 21.42 0.07 22.03 0.18 .09  .09 .52    .19 LT     
  94511 57693.0 21.48 0.04 21.17 0.04 0.0   0.0  .31  .06 -21.48 .04 LT     
  94511 57720.0 21.48 0.04 21.39 0.13 0.0   0.0  .09  .14 -21.48 .04 LT     
  94511 57749.0 21.46 0.03 21.3  0.04 0.0   0.0  .16  .05 -21.46 .03 LT     
  94511 57789.0 21.56 0.07 21.43 0.06 0.0   0.0  .13  .09 -21.56 .07 LT     
  94511 57826.0 21.61 0.06 21.39 0.06 21.81 0.12 .22  .08 .20    .13 LT     
  94511 58025.0 22.28 0.18 21.34 0.13 0.0   0.0  .94  .22 -22.28 .18 LT     
  94511 58102.0 22.01 0.11 21.76 0.1  0.0   0.0  .25  .15 -22.01 .11 LT     
  94511 58190.0 21.76 0.04 21.64 0.04 0.0   0.0  .12  .06 -21.76 .04 LT     
